Links,subdir1,subdir2,subdir3
https://www.datacamp.com/workspace/datasets/sample-integration-mssql,workspace,datasets,sample-integration-mssql
https://www.datacamp.com/workspace/templates/recipe-python-evaluate-model-using-ROC-curve,workspace,templates,recipe-python-evaluate-model-using-ROC-curve
https://www.datacamp.com/workspace/templates/dataset-python-e-commerce,workspace,templates,dataset-python-e-commerce
https://www.datacamp.com/workspace/templates/recipe-python-time-series-shifts,workspace,templates,recipe-python-time-series-shifts
https://www.datacamp.com/workspace/datasets/dataset-r-tech-stock-prices,workspace,datasets,dataset-r-tech-stock-prices
https://www.datacamp.com/workspace/templates/recipe-python-linear-regression,workspace,templates,recipe-python-linear-regression
https://www.datacamp.com/workspace/templates/recipe-python-hashtag-extraction,workspace,templates,recipe-python-hashtag-extraction
https://www.datacamp.com/workspace/templates/recipe-python-encoding-categorical-variables,workspace,templates,recipe-python-encoding-categorical-variables
https://www.datacamp.com/workspace/datasets/dataset-python-e-commerce,workspace,datasets,dataset-python-e-commerce
https://www.datacamp.com/workspace/templates/recipe-python-custom-time-series-plot,workspace,templates,recipe-python-custom-time-series-plot
https://www.datacamp.com/workspace/templates/recipe-python-email-regex,workspace,templates,recipe-python-email-regex
https://www.datacamp.com/workspace/datasets/dataset-python-telecom-customer-churn,workspace,datasets,dataset-python-telecom-customer-churn
https://www.datacamp.com/workspace/datasets/dataset-python-loans,workspace,datasets,dataset-python-loans
https://www.datacamp.com/workspace/datasets/dataset-r-google-play-store-apps,workspace,datasets,dataset-r-google-play-store-apps
https://www.datacamp.com/workspace/templates/recipe-python-google-sheets-connection,workspace,templates,recipe-python-google-sheets-connection
https://www.datacamp.com/workspace/datasets,workspace,datasets,
https://www.datacamp.com/workspace/templates,workspace,templates,
https://www.datacamp.com/workspace/templates/dataset-python-google-play-store-apps,workspace,templates,dataset-python-google-play-store-apps
https://www.datacamp.com/workspace/templates/template-sql-cleaning-data,workspace,templates,template-sql-cleaning-data
https://www.datacamp.com/workspace/datasets/dataset-python-world-population,workspace,datasets,dataset-python-world-population
