Links,subdir1,subdir2,subdir3,subdir4,subdir5,subdir6,subdir7,subdir8,subdir9,subdir10,subdir11
https://www.datacamp.com/courses/understanding-artificial-intelligence,courses,understanding-artificial-intelligence,,,,,,,,,
https://www.datacamp.com/courses/advanced-nlp-with-spacy,courses,advanced-nlp-with-spacy,,,,,,,,,
https://www.datacamp.com/courses/case-study-hr-analytics-in-tableau,courses,case-study-hr-analytics-in-tableau,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-snowflake,courses,introduction-to-snowflake,,,,,,,,,
https://www.datacamp.com/courses/data-visualization-in-excel,courses,data-visualization-in-excel,,,,,,,,,
https://www.datacamp.com/courses/streamlined-data-ingestion-with-pandas,courses,streamlined-data-ingestion-with-pandas,,,,,,,,,
https://www.datacamp.com/courses/supply-chain-analytics-in-python,courses,supply-chain-analytics-in-python,,,,,,,,,
https://www.datacamp.com/courses/software-engineering-principles-in-python,courses,software-engineering-principles-in-python,,,,,,,,,
https://www.datacamp.com/courses/machine-translation-with-keras,courses,machine-translation-with-keras,,,,,,,,,
https://www.datacamp.com/courses/data-visualization-in-spreadsheets,courses,data-visualization-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/case-study-analyzing-healthcare-data-in-power-bi,courses,case-study-analyzing-healthcare-data-in-power-bi,,,,,,,,,
https://www.datacamp.com/courses/scalable-data-processing-in-r,courses,scalable-data-processing-in-r,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-natural-language-processing-in-r,courses,introduction-to-natural-language-processing-in-r,,,,,,,,,
https://www.datacamp.com/courses/credit-risk-modeling-in-python,courses,credit-risk-modeling-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-portfolio-analysis-in-python,courses,introduction-to-portfolio-analysis-in-python,,,,,,,,,
https://www.datacamp.com/courses/fully-automated-mlops,courses,fully-automated-mlops,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-excel,courses,introduction-to-excel,,,,,,,,,
https://www.datacamp.com/courses/fraud-detection-in-r,courses,fraud-detection-in-r,,,,,,,,,
https://www.datacamp.com/courses/creating-dashboards-with-shinydashboard,courses,creating-dashboards-with-shinydashboard,,,,,,,,,
https://www.datacamp.com/courses/transactions-and-error-handling-in-sql-server,courses,transactions-and-error-handling-in-sql-server,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-statistics-in-r,courses,introduction-to-statistics-in-r,,,,,,,,,
https://www.datacamp.com/courses/course-creation-at-datacamp,courses,course-creation-at-datacamp,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-regression-in-r,courses,introduction-to-regression-in-r,,,,,,,,,
https://www.datacamp.com/courses/writing-functions-and-stored-procedures-in-sql-server,courses,writing-functions-and-stored-procedures-in-sql-server,,,,,,,,,
https://www.datacamp.com/courses/quantitative-risk-management-in-python,courses,quantitative-risk-management-in-python,,,,,,,,,
https://www.datacamp.com/courses/market-basket-analysis-in-r,courses,market-basket-analysis-in-r,,,,,,,,,
https://www.datacamp.com/courses/analyzing-social-media-data-in-r,courses,analyzing-social-media-data-in-r,,,,,,,,,
https://www.datacamp.com/courses/building-web-applications-with-shiny-in-r,courses,building-web-applications-with-shiny-in-r,,,,,,,,,
https://www.datacamp.com/courses/financial-analytics-in-spreadsheets,courses,financial-analytics-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/pandas-joins-for-spreadsheet-users,courses,pandas-joins-for-spreadsheet-users,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-data-engineering,courses,introduction-to-data-engineering,,,,,,,,,
https://www.datacamp.com/courses/building-data-engineering-pipelines-in-python,courses,building-data-engineering-pipelines-in-python,,,,,,,,,
https://www.datacamp.com/courses/spoken-language-processing-in-python,courses,spoken-language-processing-in-python,,,,,,,,,
